Judul,Perusahaan,Lokasi,Jurusan
Perawat,Rumah Sakit Jantung dan Pembuluh Darah Harapan Kita Jakarta,"Jalan Let. Jend. S. Parman Kav. 87, Palmerah, Jakarta Barat, DKI Jakarta 11420, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Ilmu Keperawatan, Keperawatan"
Asisten Kurator Katalog Elektronik - D23,Lembaga Kebijakan Pengadaan Barang /Jasa Pemerintah,"Kompleks Rasuna Epicentrum, Jalan Epicentrum Tengah Lot 11B, Karet Kuningan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Sipil, Hukum, Informatika, Akuntansi, Statistik"
Internship Assistant - Data Analytic,PT Bank Rakyat Indonesia (Persero) Tbk,"Gedung BRI Jl. Jenderal Sudirman Kav.44-46 Jakarta 10210 Indonesia, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Statistika, Matematika, Sains Data, Statistika dan Sains Data, Aktuaria"
ANALISIS HUKUM BIDANG PEMASYARAKATAN,Direktorat Jenderal Pemasyarakatan,"Jalan Veteran Nomor 11, Gambir, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Hukum, Hukum  Pidana/Jinayah, Hukum Administrasi Negara, Ilmu Hukum"
Penata Layanan Operasional,Kementerian Kebudayaan,"Jalan Jenderal Sudirman, Komplek Kemendikbud Gedung E Senayan, Jakarta. 10270., KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Administrasi Pemerintahan, Antropologi, Arkeologi, Desain Komunikasi Visual, Manajemen Informatika"
Internship Assistant - Business Support,PT Bank Rakyat Indonesia (Persero) Tbk,"Gedung BRI Jl. Jenderal Sudirman Kav.44-46 Jakarta 10210 Indonesia, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Manajemen, Akuntansi, Ilmu Komunikasi, Ilmu Hukum, Ekonomi"
Customer Development,PT Nutrifood Indonesia (Head Office Jakarta),"Jalan Rawabali II No.3, Kawasan Industri Pulogadung, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Manajemen, Manajemen Pemasaran/Marketing, Bisnis, Ilmu  dan Teknologi Pangan, Teknik Industri"
Junior Sales Representative - Area Jakarta Fatmawati,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Bisnis, Keuangan Dan Perbankan, Ekonomi, Akuntansi, Administrasi Keuangan"
Back Office - Region Jakarta 2,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen, Akuntansi, Ekonomi, Ekonomi Islam, Administrasi Bisnis"
Corporate General Management Staff 1,PT Bank Negara Indonesia (Persero) Tbk,"Jl Jend Sudirman Kav 1 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ekonomi, Akuntansi, Manajemen, Administrasi Bisnis, Teknik Sipil"
Back Office,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Bisnis, Ilmu Komunikasi, Ekonomi Islam, Ilmu Hukum, sistem informasi"
Junior Sales Representative - Area Jakarta Pondok Indah,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Bisnis, Administrasi Keuangan, Keuangan Dan Perbankan, Ekonomi, Akuntansi"
Staff Administrasi Umum,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen, Akuntansi, Ekonomi, Ekonomi Syariah, Teknik Informatika"
Administrasi Rumah Sakit,Rsupn Dr. Cipto Mangunkusumo,"Jl. Diponegoro No. 71, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Administrasi Rumah Sakit
Content Management,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Desain Produk, Desain Komunikasi Visual, Ilmu Komputer, Arsitektur, Pemasaran Digital"
Super Internship Program,PT Super Bank Indonesia,"Revenue Tower, 28-29th floor, SCBD, Lot 13 District 8, Jl. Jend. Sudirman Kav. 52-53, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","sistem informasi, Manajemen, Ekonomi, Matematika, Teknik Industri"
Pengelola Data,Rsupn Dr. Cipto Mangunkusumo,"Jl. Diponegoro No. 71, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Kesehatan Masyarakat
Administrasi Pembiayaan,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Keuangan, Administrasi Publik, Keuangan Dan Perbankan, Statistika, Administrasi Perpajakan"
Junior Sales Representative - Area Jakarta Saharjo,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Bisnis, Administrasi Keuangan, Keuangan Dan Perbankan, Ekonomi, Akuntansi"
Corporate General Management Staff 2,PT Bank Negara Indonesia (Persero) Tbk,"Jl Jend Sudirman Kav 1 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ekonomi, Akuntansi, Manajemen, Administrasi Bisnis, Teknik Sipil"
Junior Sales Representative - Area Jakarta Pondok Indah,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Bisnis, Administrasi Keuangan, Keuangan Dan Perbankan, Ekonomi, Akuntansi"
IT & Digital Operations Staff 1,PT Bank Negara Indonesia (Persero) Tbk,"Jl Jend Sudirman Kav 1 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ilmu Komputer, Teknik Komputer, Teknik Informatika, Manajemen Informatika, Statistik"
IT & Digital Operations Staff 2,PT Bank Negara Indonesia (Persero) Tbk,"Jl Jend Sudirman Kav 1 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ilmu Komputer, Teknik Komputer, Teknik Informatika, Manajemen Informatika, Statistik"
Education Consultant,Merry Riana Edukasi,"Soho Capital lantai 42 unit 4201-4203 Podomoro City, Jl S Parman Kav 28 Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat 11470, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Manajemen Pemasaran/Marketing, Manajemen Pemasaran, Pemasaran Digital, Pendidikan Non Formal, Ilmu Komunikasi"
Operation & Customer Experience,Pembangunan Jaya Ancol,"JL. LODAN TIMUR NO. 7, KOTA ADM. JAKARTA UTARA, DKI JAKARTA","Manajemen Pariwisata, Perhotelan, Seni Kuliner dan Pengelolaan Jasa Makanan, Ilmu Komunikasi, Usaha Perjalanan Wisata"
Junior Sales Representative - Area Jakarta Kebon Jeruk,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Bisnis, Administrasi Keuangan, Perbankan Dan Keuangan, Akuntansi, Ekonomi Islam"
Junior Sales Representative - Area Jakarta Kelapa Gading,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Bisnis, Administrasi Keuangan, Perbankan Dan Keuangan, Akuntansi, Ekonomi Islam"
Junior Sales Representative - Area Jakarta Rawamangun,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Bisnis, Administrasi Keuangan, Perbankan Dan Keuangan, Akuntansi, Ekonomi Islam"
Junior Sales Representative - Area Jakarta Thamrin,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Bisnis, Administrasi Keuangan, Perbankan Dan Keuangan, Akuntansi, Ekonomi Islam"
Corporate General Management Staff 3,PT Bank Negara Indonesia (Persero) Tbk,"Jl Jend Sudirman Kav 1 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ekonomi, Akuntansi, Manajemen, Administrasi Bisnis, Teknik Sipil"
"Internship Assistant - Architecture, Engineering & Design",PT Bank Rakyat Indonesia (Persero) Tbk,"Gedung BRI Jl. Jenderal Sudirman Kav.44-46 Jakarta 10210 Indonesia, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Arsitektur, Teknik Sipil, Desain Komunikasi Visual, Teknik Informatika, Sistem Informasi"
Arsiparis,Kementerian Pemberdayaan Perempuan dan Perlindungan Anak,"Jl. Medan Merdeka Barat Nomor 15, Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Manajemen, Kearsipan, Manajemen Rekod dan Arsip, Ilmu Perpustakaan dan Informasi"
Perawat,Rumah Sakit Kanker Dharmais Jakarta,"Jl. Letjen S Parman No 84-86 Kota Bambu Selatan  Kecamatan Palmerah Dki Jakarta, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",keperawatan
Business Support,Taman Impian Jaya Ancol,"Jl. Lodan Timur No. 7, KOTA ADM. JAKARTA UTARA, DKI JAKARTA","Psikologi, Administrasi Bisnis, Akuntansi, Bisnis dan Manajemen Ritel"
Consumer Banking Operation Staff,PT Bank Negara Indonesia (Persero) Tbk,"Jl Jend Sudirman Kav 1 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ekonomi, Akuntansi, Manajemen, Administrasi Bisnis, Keuangan"
Operations Support,Taman Impian Jaya Ancol,"Jl. Lodan Timur No. 7, KOTA ADM. JAKARTA UTARA, DKI JAKARTA","Teknik Elektro, Teknik Listrik, Teknik Mesin, Teknik Sipil, Pendidikan Teknik Mekatronika"
Developer - Telkom DDP,PERUSAHAAN PERSEROAN (PERSERO) PT. TELEKOMUNIKASI INDONESIA,"Jl. Jenderal Gatot Subroto Kav. 52, RT.6/RW.1, Kuningan Bar., Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12710, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Informatika, Ilmu Komputer, Teknik Telekomunikasi, Rekayasa Perangkat Lunak"
Internship auditor staff,Kantor Akuntan Publik Mirawati Sensi Idris,"Eightyeight@Kasablanka Office Tower unit 20A, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Akuntansi, Akuntansi Keuangan, Akuntansi Perpajakan, Komputerisasi Akuntansi"
Store Pharmacy Intern,Era Caring Indonesia,"ERAJAYA PLAZA JL. BANDENGAN SELATAN NO. 20, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Farmasi, Farmasi Klinik Dan Komunitas, Farmasi Klinis, Sains Dan Teknologi Farmasi"
Fasilitator Pendamping,Bank Btpn Syariah,"None, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Komunikasi, Manajemen, kewirausahaan, Kesejahteraan Sosial, Perbankan Syari'ah"
BootCamp IT Developer,Indocyber Global Teknologi,"GEDUNG SAMPOERNA STRATEGIC SQUARESOUTH TOWER LT. 30  JL. JEND. SUDIRMAN KAV 45-46, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Informatika, Sistem Informasi"
ESG,PT.huafei Nickel Cobalt,"SOPO DEL OFFICE TOWERS & LIFESTYLE  
Lantai 16 Tower A Jl. Mega Kuningan Barat III Lot.1-6 Kawasan Mega Kuningan Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Lingkungan, Ilmu Komunikasi, Hubungan Internasional, Sosiologi"
PA (Production Assistant),Mnc Televisi Network,"iNews Tower Lt. 7,MNC Center ComplexJl. Kebon Sirih No. 17 - 19, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Komunikasi Digital dan Media, Komunikasi Massa, Komunikasi"
PENGELOLA KEUANGAN,Direktorat Jenderal Pemasyarakatan,"Jalan Veteran Nomor 11, Gambir, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ekonomi, Akuntansi"
Perawat Pelaksana,Rumah Sakit Ketergantungan Obat Jakarta,"Jalan raya lapangan tembak Nomor 75 Cibubur Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Ilmu Keperawatan, Keperawatan, Keperawatan, keperawatan"
Perawat,Rumah Sakit Umum Pusat Fatmawati Jakarta,"Jalan RS Fatmawati Raya No. 4, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Ilmu Keperawatan
Credit Operations Staff 1,PT Bank Negara Indonesia (Persero) Tbk,"Jl Jend Sudirman Kav 1 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ekonomi, Akuntansi, Manajemen, Hukum, Keuangan"
Credit Operations Staff 2,PT Bank Negara Indonesia (Persero) Tbk,"Jl Jend Sudirman Kav 1 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ekonomi, Akuntansi, Manajemen, Hukum, Keuangan"
Sales Canvasser,PT Informasi Teknologi Indonesia Tbk,"Gedung Graha Orange Lantai 3A, Jl. Mampang Prapatan Raya No. 3, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen, Ilmu Komunikasi, Ekonomi, Bisnis Digital, Manajemen Pemasaran/Marketing"
Perawat,Rumah Sakit Kanker Dharmais Jakarta,"Jl. Letjen S Parman No 84-86 Kota Bambu Selatan  Kecamatan Palmerah Dki Jakarta, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",keperawatan
Intern,Bank Of China (Hongkong) Limited Jakarta,"Tamara Centre, Suite 101, 102, 201 & 1101, Jl. Jend Sudirman Kav. 24, Karet, Setiabudi, RT.10/RW.1, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Sastra Tiongkok, Pendidikan Bahasa Mandarin, Akuntansi, Manajemen, Bahasa Mandarin dan Kebudayaan Tiongkok"
Enviromental (K3),PT.huafei Nickel Cobalt,"SOPO DEL OFFICE TOWERS & LIFESTYLE  
Lantai 16 Tower A Jl. Mega Kuningan Barat III Lot.1-6 Kawasan Mega Kuningan Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Keselamatan Dan Kesehatan Kerja, Teknik Keselamatan Dan Kesehatan Kerja, Teknik Lingkungan"
Engineer Environmental (Limbah Air),PT.huafei Nickel Cobalt,"SOPO DEL OFFICE TOWERS & LIFESTYLE  
Lantai 16 Tower A Jl. Mega Kuningan Barat III Lot.1-6 Kawasan Mega Kuningan Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Lingkungan, Ilmu Lingkungan, Pengelolaan Lingkungan, Teknik Pengendalian Pencemaran Lingkungan"
Keamanan Sumber Radioaktif (Nuklir),PT.huafei Nickel Cobalt,"SOPO DEL OFFICE TOWERS & LIFESTYLE  
Lantai 16 Tower A Jl. Mega Kuningan Barat III Lot.1-6 Kawasan Mega Kuningan Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Nuklir, Teknokimia Nuklir"
Engineer Environmental (Limbah Gas),PT.huafei Nickel Cobalt,"SOPO DEL OFFICE TOWERS & LIFESTYLE  
Lantai 16 Tower A Jl. Mega Kuningan Barat III Lot.1-6 Kawasan Mega Kuningan Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Pengendalian Pencemaran Lingkungan, Teknik Lingkungan, Teknik Kimia, Teknik Keselamatan Dan Kesehatan Kerja"
Asisten Penelaah Teknis Kebijakan (Biro Keuangan),Dewan Perwakilan Rakyat Republik Indonesia (DPR RI),"Jl. Jenderal Gatot Subroto, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ilmu Ekonomi, Manajemen, Teknologi Informasi"
General - Telkom DDP,PERUSAHAAN PERSEROAN (PERSERO) PT. TELEKOMUNIKASI INDONESIA,"Jl. Jenderal Gatot Subroto Kav. 52, RT.6/RW.1, Kuningan Bar., Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12710, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Hukum, Akuntansi Perpajakan, Teknik Industri, Ilmu Komunikasi, Desain Komunikasi Visual"
Finance Accounting,Sarana Transport Persada,"TMN. PALEM LESTARI RUKO GALAXY BLOK N NO. 37, RT.013/008, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Akuntansi, Ekonomi, Keuangan dan Perbankan, Administrasi Keuangan, Manajemen Keuangan, Akuntansi Manajemen"
Pengelola Data,Rsupn Dr. Cipto Mangunkusumo,"Jl. Diponegoro No. 71, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Manajemen Pelayanan Rumah Sakit
Creative Production Assistant (News),PT. Lativi Mediakarya (Tvone),"Jl. Rawa Terate II No. 2 Kawasan Industri Pulogadung, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Jurnalistik, Teknologi Multimedia dan Broadcasting, Ilmu Komunikasi, Manajemen Produksi Berita, Manajemen & Produksi Film Video & TV"
Production Engineering & Support area Bekasi,PT Mandom Indonesia Tbk-Head Office,"WISMA 46 KOTA BNI, Suite 7.01, 7th Floor JALAN JENDRAL SUDIRMAN KAV.1, JAKARTA.10220, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Teknik Industri, Teknik Mesin, Teknik Elektro, Teknik Mekatronika"
Human Resource,Telemarketing Indonesia,"GD. MENARA JAMSOSTEK LT.18 JL.JEND.GATOT SUBROTO KAV.38, KUNINGAN BARAT, MAMPANG PRAPATAN, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi, Administrasi Keuangan, Administrasi Keuangan Dan Perbankan, Ekonomi, Psikologi"
Assistant Project Controller,PT. Huawei Tech Investment,"Gedung Wisma Mulia 2, Lantai 37, S. 3701, Jl. Jend. Gatot Subroto No. 40
Kel. Kuningan Barat, Kec. Mampang Prapatan, Kota Adm. Jakarta Selatan, Prov. DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknologi Telekomunikasi, Telekomunikasi, Teknik Telekomunikasi, Teknik Elektronika, Teknik Elektro"
Pembantu Pembimbing Kemasyarakatan,BALAI PEMASYARAKATAN KELAS I JAKARTA BARAT,"Jalan Palmerah Barat V No. 12 - 13 RT 13 RW 9, Kelurahan Palmerah, Kecamatan Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Hukum, Psikologi, Ilmu Kesejahteraan Sosial, Sosiologi, Ekonomi"
Conservation Project Intern,Konservasi Cakrawala Indonesia,"Graha Inti Fauzi Lantai 9, Jl. Buncit Raya No. 22, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Kehutanan, Teknik Kelautan, ilmu Kelautan, Konservasi Sumberdaya Hutan Dan Ekowisata, Biologi"
Consumer Banking (Sales Hunter Intern),Bank Danamon Indonesia,"None, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen, Ilmu Komunikasi, Ekonomi, Teknik Industri, Bisnis"
Tax Consultant Intern,"Soewito, Fajar Dan Rekan","Gedung Menara Kuningan Lt 5, Jalan HR Rasuna Said Blok 7 Kav 15, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Pajak, Administrasi Fiskal, Ilmu Administrasi Fiskal, Perpajakan, Akuntansi"
Perawat Ahli,Rumah Sakit Umum Pusat Persahabatan Jakarta,"Jl. Persahabatan Raya No.1, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Ilmu Keperawatan, Keperawatan"
BKPUK - Asisten Administrasi Pimpinan,Sekretariat Utama,"Gedung B.J. Habibie, Jl. M.H. Thamrin No. 8, LT 24, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Administrasi Publik, Ilmu Komunikasi, Manajemen, Kearsipan, Sastra Indonesia"
Management Trainee -  Internship Full Time,Nanyang Group Indonesia,"GOLD COAST OFFICE, TOWER LIBERTY LANTAI 20 D-H, JALAN PANTAI INDAH KAPUK St., KOTA ADM. JAKARTA UTARA, DKI JAKARTA","Bahasa Mandarin, Bahasa Mandarin Untuk Komunikasi Bisnis Dan Profesional, Bahasa Mandarin dan Kebudayaan Tiongkok, Bahasa Mandarin untuk Komunikasi Bisnis dan Profesional, Pendidikan Bahasa Mandarin"
Asisten Analis Sumber Daya Manusia,Badan Kepegawaian Negara,"Jl. Mayor Jendral Sutoyo No.12, Kel. Cililitan, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Manajemen, Administrasi Pemerintahan, Administrasi Publik, Administrasi Negara"
Sales Logistics Internship,PT. Bsa Logistics Indonesia,"Jl Raya Cakung Cilincing KM. 3, Kelurahan Cakung Barat, Kecamatan Cakung, Kota Adm Jakarta Timur, Provinsi DKI Jakarta, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Manajemen Pemasaran Internasional, Pemasaran Digital, Ilmu Komunikasi, Manajemen Agribisnis, Manajemen"
Asisten Pengembang Sistem dan Aplikasi Digital (Programmer),Badan Kepegawaian Negara,"Jl. Mayor Jendral Sutoyo No.12, Kel. Cililitan, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Sistem informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Teknologi Informasi, Teknik Informatika"
Administration,Bumi Hijau Motor,"CYBER 2 TOWER LANTAI 32, JALAN H. R. RASUNA SAID BLOK X-5 NOMOR 13, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi, Teknik Industri, Manajemen, Psikologi, Akuntansi"
Creative,PT Televisi Transformasi Indonesia,"Jl. Kapten Tendean Kav. 12-14A, Mampang Prapatan, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Komunikasi, Penyiaran, Hubungan Masyarakat, Jurnalistik"
Social Media & Content Creator,Trans Digital Media,"GEDUNG TRANS MEDIA LANTAI 8-9, JALAN KAPTEN PIERRE TENDEAN KAVLING 12-14A, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Jurnalistik, Ilmu Komunikasi, Film Dan Televisi, Multimedia, Desain Komunikasi Visual"
Asisten Arsiparis,Badan Kepegawaian Negara,"Jl. Mayor Jendral Sutoyo No.12, Kel. Cililitan, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Kearsipan, Administrasi Publik, Administrasi Negara"
Pusdatin – Pengembang Sistem Informasi (Software Engineer Intern),Pusat Data dan Informasi,"Gedung B.J. Habibie, Jl. M.H. Thamrin No. 8, Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Informatika, Ilmu Komputer, Sistem informasi, Teknologi Informasi, Rekayasa Perangkat Lunak"
Verifikator Sertifikasi Halal Self Declare,Badan Penyelenggara Jaminan Produk Halal (BPJPH),"Jl. Raya Pondok Gede No. 13, RT 001 RW 001, Kelurahan Pinang Ranti, Kec Makasar, Kota Jakarta Timur, DKI Jakarta, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Kimia, Teknologi Hasil Pertanian, Teknik Pangan, Farmasi, Biologi"
"Magang Substansi Ditjen KS Multilateral, Kemlu",Direktorat Jenderal Kerja Sama Multilateral,"Jl. Taman Pejambon No. 6 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Hubungan Internasional, Ilmu Politik, Ilmu Komunikasi, Sastra Inggris, Ilmu Hukum"
Verifikator Sertifikasi Halal Reguler,Badan Penyelenggara Jaminan Produk Halal (BPJPH),"Jl. Raya Pondok Gede No. 13, RT 001 RW 001, Kelurahan Pinang Ranti, Kec Makasar, Kota Jakarta Timur, DKI Jakarta, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Kimia, Teknologi Hasil Pertanian, Teknik Pangan, Farmasi, Biologi"
"Magang Substansi Ditjen KS Multilateral, Kemlu",Direktorat Jenderal Kerja Sama Multilateral,"Jl. Taman Pejambon No. 6 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Hubungan Internasional, Ilmu Politik, Ilmu Komunikasi, Sastra Inggris, Ilmu Hukum"
Pembantu Pembimbing Kemasyarakatan,BALAI PEMASYARAKATAN KELAS I JAKARTA BARAT,"Jalan Palmerah Barat V No. 12 - 13 RT 13 RW 9, Kelurahan Palmerah, Kecamatan Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Ilmu Politik, Ilmu Pemerintahan, Manajemen Bisnis, Kriminologi"
Asisten Teknik Pabrik,PT. Karya Makmur Bahagia,"Jl. Melawai Raya No. 10 Kebayoran Baru Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Mesin, Teknik Elektro"
Koordinator Fasilitator Pendamping,Bank Btpn Syariah,"None, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Komunikasi, Administrasi, Manajemen, Ekonomi Syari`ah, Perbankan Syari'ah"
Asisten Pengelolaan Data dan Informasi ASN,Badan Kepegawaian Negara,"Jl. Mayor Jendral Sutoyo No.12, Kel. Cililitan, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Statistika, Matematika, Sistem Informasi, Ilmu Komputer"
Graphic Designer & Editor,Surya Citra Televisi,"Gedung SCTV Tower Senayan City Jalan Asia Afrika Lot 19, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Desain Komunikasi Visual, Multimedia, Televisi Dan Film, Ilmu Komunikasi, Animasi"
Agent Contact Center Intern (Penempatan Jakarta),BPJS KETENAGAKERJAAN,"Jalan Jend Gatot Subroto No. 79 Setiabudi, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Komunikasi, Komunikasi, Hubungan Masyarakat, Komunikasi Massa"
